順位,ジャンル名,楽曲数,割合(%),代表曲例1,代表曲例2,代表曲例3
1,ロック (日本),942,13.31,androp - Roots (01-Roots.mp3),androp - Colorful (02-Colorful.mp3),androp - Glider (03-Glider.mp3)
2,J ポップ,937,13.23,Unknown - 01-手紙 ～拝啓 十五の君へ～ (01-手紙 ～拝啓 十五の君へ～.wma),Unknown - 02-Knockin' On Heaven's Door (02-Knockin' On Heaven's Door.wma),Unknown - 03-ANSWER (03-ANSWER.wma)
3,ポップ (一般),562,7.94,5 Seconds Of Summer - Don't Stop (01-Don't Stop.mp3),5 Seconds Of Summer - Rejects (02-Rejects.mp3),5 Seconds Of Summer - Try Hard (03-Try Hard.mp3)
4,コンテンポラリー フォーク (日本),496,7.01,中島みゆき - 二隻の舟 (01-二隻の舟.flac),中島みゆき - 思い出させてあげる (02-思い出させてあげる.flac),中島みゆき - 泣かないでアマテラス (03-泣かないでアマテラス.flac)
5,J-ポップ,412,5.82,DOUBLE - ラヴ・スコール (02-ラヴ・スコール.flac),カヒミ・カリィ - le soleil d'or (04-le soleil d'or.flac),加藤ミリヤ - ミシェル (05-ミシェル.flac)
6,アダルト コンテンポラリー,320,4.52,Diana Krall - I'm An Errand Girl For Rhythm (01-I'm An Errand Girl For Rhythm.flac),"Diana Krall - Gee Baby, Ain't I Good To You (02-Gee Baby, Ain't I Good To You.flac)",Diana Krall - You Call It Madness (03-You Call It Madness.flac)
7,ジャズ ボーカル,243,3.43,Alma Naidu & Nils Landgren - Just A Word (01-Just A Word.flac),Alma Naidu - Hold On To Me (02-Hold On To Me.flac),Alma Naidu - Something ´bout The Rain (03-Something ´bout The Rain.flac)
8,(ジャンル未設定),154,2.18,Unknown - 14-Coronation Day (14-Coronation Day.wma),Unknown - 21-The North Mountain (21-The North Mountain.wma),Unknown - Ed Sheeran Live FULL SHOW  Magic Radio (Ed Sheeran Live FULL SHOW  Magic Radio.mp3)
9,Domestic(J-Pops),151,2.13,Unknown - 01 ＳＡＫＵＲＡ (01 ＳＡＫＵＲＡ.wma),Unknown - 02 うるわしきひと (02 うるわしきひと.wma),Unknown - 03 青春ライン (03 青春ライン.wma)
10,ダンス ポップ,138,1.95,Ed Sheeran - Tides (01-Tides.flac),Ed Sheeran - Shivers (02-Shivers.flac),Ed Sheeran - First Times (03-First Times.flac)
11,Alternative,132,1.86,TM NETWORK - A Day In The Girl's Life (永遠の一瞬) (01 A Day In The Girl's Life (永遠の一瞬).m4a),TM NETWORK - Carol (Carol's Theme I) (02 Carol (Carol's Theme I).m4a),TM NETWORK - Chase In Labyrinth (闇のラビリンス) (03 Chase In Labyrinth (闇のラビリンス).m4a)
12,Rock,129,1.82,Unknown - 01 Dude (Looks Like a Lady) (01 Dude (Looks Like a Lady).wma),Unknown - 02 Love in an Elevator (02 Love in an Elevator.wma),Unknown - 03 Livin' on the Edge (03 Livin' on the Edge.wma)
13,R&B (一般),107,1.51,AI - ハピネス (01-ハピネス.mp3),AI - VOICE (02-VOICE.mp3),AI - ママへ (03-ママへ.mp3)
14,モダン ジャズ,105,1.48,Astrud Gilberto - I Haven't Got Anything Better To Do (No Tengo Nada Mejor...) (01-I Haven't Got Anything Better To Do (No Tengo Nada Mejor...).flac),Astrud Gilberto - Didn't We (02-Didn't We.flac),Astrud Gilberto - Wailing Of The Willow (03-Wailing Of The Willow.flac)
15,コンテンポラリー ジャズ,103,1.45,大野雄二 with フレンズ - FLY ME TO THE MOON (01-FLY ME TO THE MOON.flac),大野雄二 with フレンズ - Lonely For The Road (02-Lonely For The Road.flac),大野雄二 with フレンズ - JUST THE WAY YOU ARE (03-JUST THE WAY YOU ARE.flac)
16,ニュー エイジ ワールド ミュージック,101,1.43,Enya - A Day Without Rain (01-A Day Without Rain.flac),Enya - Wild Child (02-Wild Child.flac),Enya - Only Time (03-Only Time.flac)
17,童謡 (日本),97,1.37,Unknown - 01-きらきらきらりん・みゅーじかる (01-きらきらきらりん・みゅーじかる.wma),Unknown - 02-コロンパッ (02-コロンパッ.wma),Unknown - 03-ジューキーズこうじちゅう! (03-ジューキーズこうじちゅう!.wma)
18,ポスト バップ,85,1.2,Bill Evans - Here's That Rainy Day (01-Here's That Rainy Day.flac),Bill Evans - A Time For Love (02-A Time For Love.flac),Bill Evans - Midnight Mood (03-Midnight Mood.flac)
19,メインストリーム ロック (一般),81,1.14,Eric Clapton - Forever Man (10-Forever Man.flac),Eric Clapton - Voice Of A Child [Live] (01-Voice Of A Child [Live].flac),Eric Clapton - Tears In Heaven [Live] (02-Tears In Heaven [Live].flac)
20,Indie,80,1.13,スピッツ - i-O (修理のうた) (01 i-O (修理のうた).flac),スピッツ - 跳べ (02 跳べ.flac),スピッツ - 大好物 (03 大好物.flac)
